TipoTitulo;DataVencimento;DataBase;TaxaCompraManha;TaxaVendaManha;PUCompraManha;PUVendaManha;PUBaseManha
Tesouro IPCA+ com Juros Semestrais;15/08/2024;06/12/2007;7.07;7.15;1541.56;1529.82;1529.21
Tesouro IPCA+ com Juros Semestrais;15/05/2035;06/12/2007;6.82;6.92;1521.90;1503.38;1502.79
Tesouro IPCA+ com Juros Semestrais;15/05/2045;06/12/2007;6.65;6.75;1541.36;1520.63;1520.04
Tesouro IPCA+ com Juros Semestrais;15/05/2017;06/12/2007;7.55;7.61;1517.76;1511.69;1511.06
Tesouro IPCA+ com Juros Semestrais;15/05/2015;06/12/2007;7.55;7.61;1543.81;1538.64;1538.00
Tesouro IPCA+ com Juros Semestrais;15/08/2012;06/12/2007;7.56;7.60;1610.63;1608.20;1607.53
Tesouro IPCA+ com Juros Semestrais;15/05/2011;06/12/2007;7.56;7.60;1609.95;1608.08;1607.41
Tesouro IPCA+ com Juros Semestrais;15/08/2010;06/12/2007;7.47;7.51;1652.13;1650.61;1649.93
Tesouro IPCA+ com Juros Semestrais;15/05/2009;06/12/2007;6.87;6.89;1665.66;1665.23;1664.58
Tesouro IPCA+ com Juros Semestrais;15/08/2008;06/12/2007;6.19;6.21;1706.95;1706.74;1706.11
Tesouro IPCA+;15/05/2015;06/12/2007;7.57;7.63;976.48;972.45;972.04
Tesouro IPCA+;15/08/2024;06/12/2007;6.90;6.98;553.07;546.23;546.01
Tesouro IGPM+ com Juros Semestrais;01/04/2008;06/12/2007;6.08;6.10;2029.43;2029.31;2028.42
Tesouro IGPM+ com Juros Semestrais;01/03/2011;06/12/2007;7.54;7.58;1955.28;1953.15;1952.19
Tesouro IGPM+ com Juros Semestrais;01/07/2017;06/12/2007;7.53;7.59;1859.84;1852.51;1851.59
Tesouro IGPM+ com Juros Semestrais;01/04/2021;06/12/2007;7.22;7.30;1830.21;1817.94;1817.06
Tesouro IGPM+ com Juros Semestrais;01/01/2031;06/12/2007;6.97;7.07;3226.14;3194.80;3193.29
Tesouro Prefixado com Juros Semestrais;01/01/2014;06/12/2007;12.98;13.04;926.01;923.85;923.40
Tesouro Prefixado com Juros Semestrais;01/01/2013;06/12/2007;12.97;13.03;940.45;938.52;938.07
Tesouro Prefixado com Juros Semestrais;01/01/2012;06/12/2007;12.77;12.83;961.36;959.70;959.24
Tesouro Prefixado com Juros Semestrais;01/01/2011;06/12/2007;12.78;12.84;977.41;976.07;975.60
Tesouro Prefixado com Juros Semestrais;01/07/2010;06/12/2007;12.63;12.69;990.14;988.98;988.51
Tesouro Prefixado com Juros Semestrais;01/01/2010;06/12/2007;12.43;12.49;1001.50;1000.52;1000.05
Tesouro Prefixado com Juros Semestrais;01/01/2017;06/12/2007;13.12;13.18;887.37;884.72;884.29
Tesouro Prefixado com Juros Semestrais;01/01/2008;06/12/2007;11.15;11.18;1041.79;1041.77;1041.33
Tesouro Selic;07/03/2012;05/12/2007;-0.01;0.03;3292.67;3287.10;3285.71
Tesouro Selic;16/03/2011;05/12/2007;-0.01;0.03;3292.36;3288.06;3286.67
Tesouro Selic;17/03/2010;05/12/2007;-0.01;0.02;3292.03;3289.79;3288.40
Tesouro Selic;18/03/2009;05/12/2007;-0.01;0.01;3291.70;3290.86;3289.47
Tesouro Selic;18/06/2008;05/12/2007;-0.02;0.00;3291.62;3291.28;3289.89
Tesouro Selic;07/03/2013;05/12/2007;-0.01;0.03;3293.00;3286.12;3284.73
Tesouro Prefixado;01/10/2009;05/12/2007;12.25;12.30;810.56;809.91;809.53
Tesouro Prefixado;01/01/2008;05/12/2007;11.14;11.17;992.90;992.88;992.46
Tesouro Prefixado;01/04/2008;05/12/2007;11.27;11.30;967.48;967.40;966.99
Tesouro Prefixado;01/07/2008;05/12/2007;11.41;11.45;941.73;941.55;941.14
Tesouro Prefixado;01/10/2008;05/12/2007;11.55;11.59;914.52;914.25;913.85
Tesouro Prefixado;01/01/2009;05/12/2007;11.75;11.79;887.39;887.04;886.65
Tesouro Prefixado;01/07/2009;05/12/2007;12.06;12.11;837.29;836.71;836.33
Tesouro Prefixado;01/01/2010;05/12/2007;12.40;12.46;785.31;784.44;784.08
Tesouro IPCA+ com Juros Semestrais;15/08/2012;05/12/2007;7.52;7.56;1611.27;1608.84;1608.22
Tesouro IPCA+ com Juros Semestrais;15/05/2015;05/12/2007;7.49;7.55;1547.28;1542.09;1541.50
Tesouro IPCA+ com Juros Semestrais;15/05/2017;05/12/2007;7.51;7.57;1520.13;1514.04;1513.46
Tesouro IPCA+ com Juros Semestrais;15/08/2024;05/12/2007;7.03;7.11;1545.79;1533.99;1533.43
Tesouro IPCA+ com Juros Semestrais;15/05/2035;05/12/2007;6.78;6.88;1527.75;1509.10;1508.57
Tesouro IPCA+ com Juros Semestrais;15/05/2045;05/12/2007;6.61;6.71;1548.12;1527.21;1526.68
Tesouro IPCA+ com Juros Semestrais;15/08/2010;05/12/2007;7.42;7.46;1652.19;1650.67;1650.05
Tesouro IPCA+ com Juros Semestrais;15/05/2011;05/12/2007;7.49;7.53;1611.44;1609.57;1608.95
Tesouro IPCA+ com Juros Semestrais;15/08/2008;05/12/2007;6.20;6.22;1705.03;1704.82;1704.25
Tesouro IPCA+ com Juros Semestrais;15/05/2009;05/12/2007;6.94;6.96;1662.33;1661.90;1661.30
Tesouro IPCA+;15/08/2024;05/12/2007;6.86;6.94;555.92;549.04;548.84
Tesouro IPCA+;15/05/2015;05/12/2007;7.50;7.56;980.12;976.07;975.69
Tesouro IGPM+ com Juros Semestrais;01/04/2021;05/12/2007;7.18;7.26;1835.51;1823.18;1822.31
Tesouro IGPM+ com Juros Semestrais;01/01/2031;05/12/2007;6.93;7.03;3237.31;3205.76;3204.25
Tesouro IGPM+ com Juros Semestrais;01/07/2017;05/12/2007;7.49;7.55;1863.84;1856.48;1855.56
Tesouro IGPM+ com Juros Semestrais;01/03/2011;05/12/2007;7.47;7.51;1958.06;1955.92;1954.96
Tesouro IGPM+ com Juros Semestrais;01/04/2008;05/12/2007;6.09;6.11;2028.48;2028.36;2027.48
Tesouro Prefixado com Juros Semestrais;01/07/2010;05/12/2007;12.54;12.60;991.43;990.26;989.79
Tesouro Prefixado com Juros Semestrais;01/01/2010;05/12/2007;12.41;12.47;1001.36;1000.38;999.91
Tesouro Prefixado com Juros Semestrais;01/01/2008;05/12/2007;11.15;11.18;1041.35;1041.33;1040.89
Tesouro Prefixado com Juros Semestrais;01/01/2011;05/12/2007;12.68;12.74;979.20;977.85;977.38
Tesouro Prefixado com Juros Semestrais;01/01/2012;05/12/2007;12.75;12.81;961.46;959.79;959.33
Tesouro Prefixado com Juros Semestrais;01/01/2013;05/12/2007;12.80;12.86;945.48;943.54;943.09
Tesouro Prefixado com Juros Semestrais;01/01/2014;05/12/2007;12.83;12.89;931.00;928.82;928.37
Tesouro Prefixado com Juros Semestrais;01/01/2017;05/12/2007;12.95;13.01;894.52;891.83;891.40
Tesouro Selic;07/03/2012;04/12/2007;-0.01;0.03;3291.29;3285.71;3284.32
Tesouro Selic;07/03/2013;04/12/2007;-0.01;0.03;3291.62;3284.74;3283.34
Tesouro Selic;18/06/2008;04/12/2007;-0.02;0.00;3290.24;3289.90;3288.51
Tesouro Selic;18/03/2009;04/12/2007;-0.01;0.01;3290.32;3289.47;3288.08
Tesouro Selic;17/03/2010;04/12/2007;-0.01;0.02;3290.65;3288.41;3287.01
Tesouro Selic;16/03/2011;04/12/2007;-0.01;0.03;3290.97;3286.67;3285.28
Tesouro Prefixado com Juros Semestrais;01/07/2010;10/10/2007;11.34;11.40;999.43;998.16;997.73
Tesouro Prefixado com Juros Semestrais;01/01/2010;10/10/2007;11.28;11.34;1004.26;1003.19;1002.76
Tesouro Prefixado com Juros Semestrais;01/01/2008;10/10/2007;11.06;11.09;1025.49;1025.43;1025.00
Tesouro Prefixado com Juros Semestrais;01/01/2011;10/10/2007;11.34;11.40;994.28;992.81;992.39
Tesouro Prefixado com Juros Semestrais;01/01/2012;10/10/2007;11.32;11.38;986.88;985.05;984.63
Tesouro Prefixado com Juros Semestrais;01/01/2013;10/10/2007;11.33;11.39;979.41;977.27;976.86
Tesouro Prefixado com Juros Semestrais;01/01/2014;10/10/2007;11.34;11.40;972.14;969.72;969.31
Tesouro Prefixado com Juros Semestrais;01/01/2017;10/10/2007;11.37;11.43;954.70;951.63;951.23
Tesouro Selic;07/03/2013;09/10/2007;0.00;0.04;3239.10;3232.14;3230.77
Tesouro Selic;18/06/2008;09/10/2007;-0.01;0.00;3239.32;3239.10;3237.73
Tesouro Selic;18/03/2009;09/10/2007;-0.01;0.01;3239.56;3238.64;3237.27
Tesouro Selic;17/03/2010;09/10/2007;-0.01;0.02;3239.88;3237.53;3236.17
Tesouro Selic;16/03/2011;09/10/2007;0.00;0.04;3239.10;3234.68;3233.31
Tesouro Selic;07/03/2012;09/10/2007;0.00;0.04;3239.10;3233.42;3232.05
Tesouro Prefixado;01/07/2009;09/10/2007;11.37;11.42;831.78;831.14;830.79
Tesouro Prefixado;01/01/2009;09/10/2007;11.30;11.34;876.97;876.59;876.21
Tesouro Prefixado;01/10/2008;09/10/2007;11.23;11.27;902.08;901.76;901.38
Tesouro Prefixado;01/07/2008;09/10/2007;11.19;11.23;927.81;927.57;927.18
Tesouro Prefixado;01/04/2008;09/10/2007;11.12;11.15;952.62;952.50;952.10
Tesouro Prefixado;01/10/2009;09/10/2007;11.40;11.45;808.57;807.85;807.50
Tesouro Prefixado;01/01/2008;09/10/2007;11.07;11.10;977.34;977.28;976.88
Tesouro IPCA+ com Juros Semestrais;15/08/2012;09/10/2007;6.86;6.90;1627.92;1625.35;1624.79
Tesouro IPCA+ com Juros Semestrais;15/05/2011;09/10/2007;6.90;6.94;1664.37;1662.38;1661.80
Tesouro IPCA+ com Juros Semestrais;15/08/2010;09/10/2007;6.91;6.95;1647.14;1645.52;1644.95
Tesouro IPCA+ com Juros Semestrais;15/05/2009;09/10/2007;6.89;6.91;1687.98;1687.51;1686.93
Tesouro IPCA+ com Juros Semestrais;15/08/2008;09/10/2007;6.61;6.63;1676.30;1676.04;1675.48
Tesouro IPCA+ com Juros Semestrais;15/05/2015;09/10/2007;6.75;6.81;1638.81;1633.27;1632.71
Tesouro IPCA+ com Juros Semestrais;15/05/2045;09/10/2007;6.23;6.33;1658.77;1635.98;1635.45
Tesouro IPCA+ com Juros Semestrais;15/05/2035;09/10/2007;6.33;6.43;1642.91;1622.59;1622.06
Tesouro IPCA+ com Juros Semestrais;15/08/2024;09/10/2007;6.42;6.50;1617.13;1604.29;1603.76
Tesouro IPCA+ com Juros Semestrais;15/05/2017;09/10/2007;6.75;6.81;1625.88;1619.33;1618.77
Tesouro IPCA+;15/08/2024;09/10/2007;6.29;6.37;599.22;591.70;591.51
Tesouro IPCA+;15/05/2015;09/10/2007;6.73;6.79;1018.86;1014.53;1014.19
Tesouro IGPM+ com Juros Semestrais;01/01/2031;09/10/2007;6.40;6.50;3324.62;3290.69;3289.35
Tesouro IGPM+ com Juros Semestrais;01/04/2021;09/10/2007;6.53;6.61;1889.32;1876.16;1875.38
Tesouro IGPM+ com Juros Semestrais;01/07/2017;09/10/2007;6.74;6.80;1907.48;1899.66;1898.86
Tesouro IGPM+ com Juros Semestrais;01/03/2011;09/10/2007;6.90;6.94;1935.84;1933.60;1932.79
Tesouro IGPM+ com Juros Semestrais;01/04/2008;09/10/2007;6.13;6.15;1976.35;1976.18;1975.40
Tesouro Prefixado com Juros Semestrais;01/01/2011;09/10/2007;11.46;11.52;990.92;989.45;989.02
Tesouro Prefixado com Juros Semestrais;01/01/2012;09/10/2007;11.44;11.50;982.81;980.99;980.57
Tesouro Prefixado com Juros Semestrais;01/01/2013;09/10/2007;11.45;11.51;974.72;972.60;972.18
Tesouro Prefixado com Juros Semestrais;01/01/2014;09/10/2007;11.46;11.52;966.90;964.50;964.09
Tesouro Prefixado com Juros Semestrais;01/07/2010;09/10/2007;11.44;11.50;996.88;995.61;995.18
Tesouro Prefixado com Juros Semestrais;01/01/2010;09/10/2007;11.39;11.45;1001.86;1000.79;1000.36
Tesouro Prefixado com Juros Semestrais;01/01/2017;09/10/2007;11.47;11.53;949.19;946.15;945.74
Tesouro Prefixado com Juros Semestrais;01/01/2008;09/10/2007;11.08;11.11;1025.02;1024.96;1024.54
Tesouro Selic;07/03/2013;08/10/2007;0.00;0.04;3237.74;3230.77;3229.40
Tesouro Selic;18/06/2008;08/10/2007;-0.01;0.00;3237.96;3237.74;3236.37
Tesouro Selic;18/03/2009;08/10/2007;-0.01;0.01;3238.20;3237.27;3235.91
Tesouro Selic;17/03/2010;08/10/2007;-0.01;0.02;3238.52;3236.17;3234.80
Tesouro Selic;16/03/2011;08/10/2007;0.00;0.04;3237.74;3233.32;3231.94
Tesouro Selic;07/03/2012;08/10/2007;0.00;0.04;3237.74;3232.06;3230.68
Tesouro Prefixado;01/07/2009;08/10/2007;11.34;11.39;831.81;831.17;830.81
Tesouro Prefixado;01/01/2009;08/10/2007;11.29;11.33;876.70;876.31;875.94
Tesouro Prefixado;01/10/2008;08/10/2007;11.22;11.26;901.77;901.46;901.08
Tesouro Prefixado;01/07/2008;08/10/2007;11.17;11.21;927.54;927.30;926.91
Tesouro Prefixado;01/04/2008;08/10/2007;11.11;11.14;952.26;952.14;951.74
Tesouro Prefixado;01/10/2009;08/10/2007;11.36;11.41;808.79;808.08;807.73
Tesouro Prefixado;01/01/2008;08/10/2007;11.07;11.10;976.93;976.88;976.47
Tesouro IPCA+ com Juros Semestrais;15/08/2012;08/10/2007;6.86;6.90;1627.37;1624.79;1624.23
Tesouro IPCA+ com Juros Semestrais;15/05/2011;08/10/2007;6.91;6.95;1663.29;1661.31;1660.73
Tesouro IPCA+ com Juros Semestrais;15/08/2010;08/10/2007;6.92;6.96;1646.17;1644.55;1643.98
Tesouro IPCA+ com Juros Semestrais;15/05/2009;08/10/2007;6.88;6.90;1687.64;1687.17;1686.58
Tesouro IPCA+ com Juros Semestrais;15/08/2008;08/10/2007;6.59;6.61;1676.00;1675.74;1675.18
Tesouro IPCA+ com Juros Semestrais;15/05/2015;08/10/2007;6.75;6.81;1638.25;1632.71;1632.16
Tesouro IPCA+ com Juros Semestrais;15/05/2045;08/10/2007;6.22;6.32;1660.55;1637.71;1637.18
Tesouro IPCA+ com Juros Semestrais;15/05/2035;08/10/2007;6.32;6.42;1644.43;1624.07;1623.54
Tesouro IPCA+ com Juros Semestrais;15/08/2024;08/10/2007;6.42;6.50;1616.60;1603.76;1603.23
Tesouro IPCA+ com Juros Semestrais;15/05/2017;08/10/2007;6.74;6.80;1626.42;1619.86;1619.31
Tesouro IPCA+;15/08/2024;08/10/2007;6.29;6.37;599.03;591.51;591.32
Tesouro IPCA+;15/05/2015;08/10/2007;6.73;6.79;1018.52;1014.19;1013.84
Tesouro IGPM+ com Juros Semestrais;01/01/2031;08/10/2007;6.39;6.49;3326.70;3292.71;3291.37
Tesouro IGPM+ com Juros Semestrais;01/04/2021;08/10/2007;6.52;6.60;1890.20;1877.02;1876.25
Tesouro IGPM+ com Juros Semestrais;01/07/2017;08/10/2007;6.73;6.79;1908.00;1900.16;1899.37
Tesouro IGPM+ com Juros Semestrais;01/03/2011;08/10/2007;6.91;6.95;1934.46;1932.23;1931.41
Tesouro IGPM+ com Juros Semestrais;01/04/2008;08/10/2007;6.14;6.16;1975.48;1975.31;1974.53
Tesouro Prefixado com Juros Semestrais;01/01/2011;08/10/2007;11.44;11.50;990.98;989.51;989.08
Tesouro Prefixado com Juros Semestrais;01/01/2012;08/10/2007;11.40;11.46;983.60;981.78;981.36
Tesouro Prefixado com Juros Semestrais;01/01/2013;08/10/2007;11.42;11.48;975.37;973.24;972.82
Tesouro Prefixado com Juros Semestrais;01/01/2014;08/10/2007;11.43;11.49;967.69;965.28;964.87
Tesouro Prefixado com Juros Semestrais;01/07/2010;08/10/2007;11.43;11.49;996.66;995.39;994.96
Tesouro Prefixado com Juros Semestrais;01/01/2010;08/10/2007;11.36;11.42;1001.97;1000.90;1000.47
Tesouro Prefixado com Juros Semestrais;01/01/2017;08/10/2007;11.45;11.51;949.80;946.75;946.34
Tesouro Prefixado com Juros Semestrais;01/01/2008;08/10/2007;11.07;11.10;1024.62;1024.56;1024.13
Tesouro Selic;07/03/2013;05/10/2007;0.00;0.04;3236.38;3229.41;3228.04
Tesouro Selic;07/03/2012;05/10/2007;0.00;0.04;3236.38;3230.69;3229.32
Tesouro Selic;16/03/2011;05/10/2007;0.00;0.04;3236.38;3231.95;3230.58
Tesouro Selic;17/03/2010;05/10/2007;-0.01;0.02;3237.16;3234.81;3233.44
Tesouro Selic;18/03/2009;05/10/2007;-0.01;0.01;3236.84;3235.91;3234.54
Tesouro Selic;18/06/2008;05/10/2007;-0.01;0.00;3236.60;3236.38;3235.01
Tesouro Prefixado;01/01/2009;05/10/2007;11.31;11.35;876.13;875.74;875.37
Tesouro Prefixado;01/07/2009;05/10/2007;11.37;11.42;831.07;830.43;830.07
Tesouro Prefixado;01/10/2009;05/10/2007;11.39;11.44;808.02;807.30;806.95
Tesouro Prefixado;01/07/2008;05/10/2007;11.17;11.21;927.15;926.91;926.52
Tesouro Prefixado;01/04/2008;05/10/2007;11.12;11.15;951.82;951.70;951.30
Tesouro Prefixado;01/10/2008;05/10/2007;11.23;11.27;901.31;901.00;900.62
Tesouro IGPM+ com Juros Semestrais;01/04/2021;19/06/2007;5.99;6.07;1949.29;1935.42;1934.75
Tesouro IGPM+ com Juros Semestrais;01/01/2031;19/06/2007;5.94;6.04;3445.32;3409.35;3408.18
Tesouro Prefixado com Juros Semestrais;01/01/2008;19/06/2007;11.22;11.26;1039.79;1039.60;1039.16
Tesouro Prefixado com Juros Semestrais;01/01/2010;19/06/2007;10.42;10.48;1036.95;1035.71;1035.30
Tesouro Prefixado com Juros Semestrais;01/07/2010;19/06/2007;10.41;10.47;1036.62;1035.18;1034.77
Tesouro Prefixado com Juros Semestrais;01/01/2012;19/06/2007;10.36;10.42;1034.07;1032.06;1031.65
Tesouro Prefixado com Juros Semestrais;01/01/2014;19/06/2007;10.33;10.39;1031.58;1028.93;1028.52
Tesouro Prefixado com Juros Semestrais;01/01/2017;19/06/2007;10.28;10.34;1030.63;1027.22;1026.82
Tesouro Selic;07/03/2012;18/06/2007;0.00;0.04;3129.12;3123.24;3121.83
Tesouro Selic;17/03/2010;18/06/2007;0.00;0.03;3129.12;3126.56;3125.15
Tesouro Selic;16/03/2011;18/06/2007;0.00;0.04;3129.12;3124.46;3123.05
Tesouro Selic;18/03/2009;18/06/2007;0.00;0.02;3129.12;3128.03;3126.62
Tesouro Selic;18/06/2008;18/06/2007;-0.01;0.00;3129.43;3129.12;3127.72
Tesouro Prefixado;01/07/2007;18/06/2007;11.91;11.94;995.98;995.97;995.53
Tesouro Prefixado;01/10/2008;18/06/2007;10.66;10.70;877.89;877.48;877.12
Tesouro Prefixado;01/01/2009;18/06/2007;10.54;10.59;856.68;856.08;855.74
Tesouro Prefixado;01/07/2009;18/06/2007;10.48;10.54;817.01;816.11;815.79
Tesouro Prefixado;01/10/2007;18/06/2007;11.55;11.58;968.83;968.75;968.33
Tesouro Prefixado;01/01/2008;18/06/2007;11.23;11.27;944.57;944.39;943.99
Tesouro Prefixado;01/04/2008;18/06/2007;10.99;11.03;922.10;921.84;921.46
Tesouro Prefixado;01/07/2008;18/06/2007;10.82;10.86;900.15;899.82;899.45
Tesouro IPCA+ com Juros Semestrais;15/05/2045;18/06/2007;5.90;6.00;1686.75;1662.30;1661.85
Tesouro IPCA+ com Juros Semestrais;15/05/2035;18/06/2007;5.91;6.01;1681.73;1659.77;1659.32
Tesouro IPCA+ com Juros Semestrais;15/08/2024;18/06/2007;5.94;6.02;1695.36;1681.62;1681.16
Tesouro IPCA+ com Juros Semestrais;15/05/2017;18/06/2007;6.09;6.15;1649.26;1642.23;1641.77
Tesouro IPCA+ com Juros Semestrais;15/08/2012;18/06/2007;6.26;6.32;1664.52;1660.37;1659.90
Tesouro IPCA+ com Juros Semestrais;15/05/2011;18/06/2007;6.37;6.41;1638.84;1636.68;1636.21
Tesouro IPCA+ com Juros Semestrais;15/08/2010;18/06/2007;6.46;6.50;1661.93;1660.15;1659.67
Tesouro IPCA+ com Juros Semestrais;15/05/2009;18/06/2007;6.78;6.80;1636.45;1635.90;1635.40
Tesouro IPCA+ com Juros Semestrais;15/08/2008;18/06/2007;7.27;7.29;1660.25;1659.90;1659.37
Tesouro IPCA+ com Juros Semestrais;15/05/2015;18/06/2007;6.19;6.25;1640.40;1634.51;1634.05
Tesouro IPCA+;15/08/2024;18/06/2007;5.85;5.93;623.59;615.58;615.42
Tesouro IPCA+;15/05/2015;18/06/2007;6.15;6.21;1029.71;1025.13;1024.84
Tesouro IGPM+ com Juros Semestrais;01/04/2021;18/06/2007;5.99;6.07;1948.62;1934.75;1934.08
Tesouro IGPM+ com Juros Semestrais;01/07/2017;18/06/2007;6.09;6.17;1961.84;1950.81;1950.13
Tesouro IGPM+ com Juros Semestrais;01/03/2011;18/06/2007;6.39;6.43;1930.44;1928.04;1927.34
Tesouro IGPM+ com Juros Semestrais;01/04/2008;18/06/2007;7.64;7.66;1922.02;1921.74;1920.96
Tesouro IGPM+ com Juros Semestrais;01/01/2031;18/06/2007;5.94;6.04;3444.14;3408.18;3407.00
Tesouro Prefixado com Juros Semestrais;01/01/2017;18/06/2007;10.25;10.31;1031.94;1028.53;1028.12
Tesouro Prefixado com Juros Semestrais;01/01/2014;18/06/2007;10.31;10.37;1032.06;1029.41;1029.00
Tesouro Prefixado com Juros Semestrais;01/01/2012;18/06/2007;10.35;10.41;1034.01;1031.99;1031.58
Tesouro Prefixado com Juros Semestrais;01/07/2010;18/06/2007;10.41;10.47;1036.21;1034.77;1034.36
Tesouro Prefixado com Juros Semestrais;01/01/2010;18/06/2007;10.44;10.50;1036.12;1034.88;1034.47
Tesouro Prefixado com Juros Semestrais;01/01/2008;18/06/2007;11.23;11.27;1039.30;1039.11;1038.67
Tesouro Selic;18/06/2008;15/06/2007;-0.01;0.01;3128.03;3127.41;3126.01
Tesouro Selic;18/03/2009;15/06/2007;0.00;0.02;3127.72;3126.63;3125.22
Tesouro Selic;17/03/2010;15/06/2007;0.00;0.03;3127.72;3125.16;3123.75
Tesouro Selic;07/03/2012;15/06/2007;0.00;0.04;3127.72;3121.84;3120.43
Tesouro Selic;16/03/2011;15/06/2007;0.00;0.04;3127.72;3123.06;3121.65
Tesouro Prefixado;01/07/2009;15/06/2007;10.56;10.62;815.49;814.59;814.26
Tesouro Prefixado;01/07/2008;15/06/2007;10.84;10.88;899.62;899.29;898.92
Tesouro Prefixado;01/10/2008;15/06/2007;10.70;10.74;877.12;876.72;876.36
Tesouro Prefixado;01/01/2009;15/06/2007;10.60;10.65;855.62;855.02;854.68
Tesouro Prefixado;01/04/2008;15/06/2007;11.00;11.04;921.65;921.39;921.01
Tesouro Prefixado;01/01/2008;15/06/2007;11.23;11.27;944.18;943.99;943.59
Tesouro Prefixado;01/10/2007;15/06/2007;11.56;11.59;968.38;968.31;967.88
Tesouro Prefixado;01/07/2007;15/06/2007;11.92;11.95;995.54;995.53;995.08
Tesouro IPCA+ com Juros Semestrais;15/08/2012;15/06/2007;6.34;6.40;1658.52;1654.39;1653.78
Tesouro IPCA+ com Juros Semestrais;15/05/2015;15/06/2007;6.26;6.32;1633.07;1627.21;1626.62
Tesouro IPCA+ com Juros Semestrais;15/05/2017;15/06/2007;6.13;6.19;1644.11;1637.10;1636.51
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/06/2007;5.97;6.05;1689.73;1676.05;1675.46
Tesouro IPCA+ com Juros Semestrais;15/05/2011;15/06/2007;6.42;6.46;1635.67;1633.51;1632.91
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/06/2007;5.94;6.04;1676.45;1652.24;1651.66
Tesouro IPCA+ com Juros Semestrais;15/08/2008;15/06/2007;7.29;7.31;1659.37;1659.03;1658.36
Tesouro IPCA+ com Juros Semestrais;15/05/2009;15/06/2007;6.85;6.87;1634.01;1633.46;1632.83
Tesouro IPCA+ com Juros Semestrais;15/08/2010;15/06/2007;6.52;6.56;1658.77;1656.99;1656.37
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/06/2007;5.95;6.05;1672.44;1650.66;1650.08
Tesouro IPCA+;15/05/2015;15/06/2007;6.22;6.28;1024.08;1019.53;1019.16
Tesouro IPCA+;15/08/2024;15/06/2007;5.87;5.95;621.41;613.43;613.22
Tesouro IGPM+ com Juros Semestrais;01/01/2031;15/06/2007;5.98;6.08;3428.50;3392.78;3390.83
Tesouro IGPM+ com Juros Semestrais;01/04/2008;15/06/2007;7.66;7.68;1920.96;1920.69;1919.48
Tesouro IGPM+ com Juros Semestrais;01/03/2011;15/06/2007;6.44;6.48;1926.74;1924.34;1923.21
Tesouro IGPM+ com Juros Semestrais;01/07/2017;15/06/2007;6.12;6.20;1957.01;1946.02;1944.89
Tesouro IGPM+ com Juros Semestrais;01/04/2021;15/06/2007;6.02;6.10;1942.73;1928.91;1927.80
Tesouro Prefixado com Juros Semestrais;01/01/2014;15/06/2007;10.43;10.49;1026.35;1023.71;1023.31
Tesouro Prefixado com Juros Semestrais;01/01/2008;15/06/2007;11.23;11.27;1038.86;1038.67;1038.23
Tesouro Prefixado com Juros Semestrais;01/01/2010;15/06/2007;10.53;10.59;1033.85;1032.62;1032.20
Tesouro Prefixado com Juros Semestrais;01/07/2010;15/06/2007;10.52;10.58;1033.16;1031.71;1031.30
Tesouro Prefixado com Juros Semestrais;01/01/2012;15/06/2007;10.48;10.54;1029.23;1027.23;1026.82
Tesouro Prefixado com Juros Semestrais;01/01/2017;15/06/2007;10.38;10.44;1024.16;1020.78;1020.37
Tesouro Selic;18/03/2009;14/06/2007;0.00;0.02;3126.33;3125.23;3123.82
Tesouro Selic;17/03/2010;14/06/2007;0.00;0.03;3126.33;3123.75;3122.35
Tesouro Selic;16/03/2011;14/06/2007;0.00;0.04;3126.33;3121.66;3120.25
Tesouro Selic;07/03/2012;14/06/2007;0.00;0.04;3126.33;3120.44;3119.03
Tesouro Selic;18/06/2008;14/06/2007;-0.01;0.01;3126.64;3126.01;3124.61
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/03/2007;7.23;7.33;1415.58;1397.86;1397.33
Tesouro IPCA+ com Juros Semestrais;15/05/2007;15/03/2007;7.47;7.49;1663.23;1663.18;1662.54
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/03/2007;7.40;7.48;1428.50;1417.37;1416.83
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/03/2007;7.32;7.42;1419.61;1403.13;1402.60
Tesouro IPCA+;15/05/2015;15/03/2007;7.56;7.62;902.68;898.59;898.25
Tesouro IPCA+;15/08/2024;15/03/2007;7.32;7.40;479.44;473.28;473.10
Tesouro IGPM+ com Juros Semestrais;01/01/2031;15/03/2007;7.37;7.47;2914.46;2885.96;2884.88
Tesouro IGPM+ com Juros Semestrais;01/04/2021;15/03/2007;7.44;7.52;1733.87;1722.17;1721.52
Tesouro IGPM+ com Juros Semestrais;01/07/2017;15/03/2007;7.51;7.59;1736.99;1727.24;1726.58
Tesouro IGPM+ com Juros Semestrais;01/03/2011;15/03/2007;7.77;7.81;1806.11;1803.73;1803.02
Tesouro IGPM+ com Juros Semestrais;01/04/2008;15/03/2007;8.10;8.12;1925.27;1924.91;1924.14
Tesouro Prefixado com Juros Semestrais;01/01/2014;15/03/2007;12.09;12.15;929.88;927.44;927.02
Tesouro Prefixado com Juros Semestrais;01/01/2012;15/03/2007;12.06;12.12;950.75;948.81;948.38
